,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
41,42,20,2,115.0,16905,Pave,,1,1,AllPub,1,1,Timber,Norm,Norm,1,1,5,6,1959,1959,1,1,1,1,1,0,2,1,2,2,2,2,7,967,3,0,383,1350,1,1,1,1,1328,0,0,1328,0,1,1,1,2,1,2,5,1,2,1,1,1959,1,1,308,2,2,3,0,104,0,0,0,0,,,,0,7,2007,1,Normal,170000
42,43,85,2,,9180,Pave,,2,1,AllPub,4,1,SawyerW,Norm,Norm,1,6,5,7,1983,1983,1,1,4,4,1,0,2,2,2,1,2,4,2,747,6,93,0,840,1,1,1,1,884,0,0,884,1,0,1,0,2,1,1,5,1,0,5,1,1983,1,2,504,2,1,1,240,0,0,0,0,0,,MnPrv,,0,12,2007,1,Normal,144000
43,44,20,2,,9200,Pave,,2,1,AllPub,4,1,CollgCr,Norm,Norm,1,1,5,6,1975,1980,2,1,1,1,1,0,2,2,2,1,2,4,6,280,7,491,167,938,1,2,1,1,938,0,0,938,1,0,1,0,3,1,2,5,1,0,5,2,1977,2,1,308,2,2,1,145,0,0,0,0,0,,MnPrv,,0,7,2008,1,Normal,130250
44,45,20,2,70.0,7945,Pave,,1,1,AllPub,1,1,NAmes,Norm,Norm,1,1,5,6,1959,1959,1,1,8,3,1,0,2,2,2,2,2,1,2,179,7,506,465,1150,1,3,1,3,1150,0,0,1150,1,0,1,0,3,1,2,6,1,0,5,1,1959,1,1,300,2,2,1,0,0,0,0,0,0,,,,0,5,2006,1,Normal,141000
45,46,120,2,61.0,7658,Pave,,1,1,AllPub,1,1,NridgHt,Norm,Norm,4,1,9,5,2005,2005,2,1,2,2,2,412,3,2,1,3,2,1,1,456,3,0,1296,1752,1,3,1,1,1752,0,0,1752,1,0,2,0,2,1,3,6,1,1,1,1,2005,1,2,576,2,2,1,196,82,0,0,0,0,,,,0,2,2010,1,Normal,319900
46,47,50,2,48.0,12822,Pave,,2,1,AllPub,4,1,Mitchel,Norm,Norm,1,4,7,5,2003,2003,1,1,1,1,1,0,1,2,1,3,2,1,1,1351,3,0,83,1434,1,3,1,1,1518,631,0,2149,1,0,1,1,1,1,1,6,1,1,3,1,2003,1,2,670,2,2,1,168,43,0,0,198,0,,,,0,8,2009,1,Abnorml,239686
47,48,20,3,84.0,11096,Pave,,1,1,AllPub,1,1,Somerst,Norm,Norm,1,1,8,5,2006,2006,1,1,1,1,1,0,1,2,1,1,2,4,1,24,3,0,1632,1656,1,3,1,1,1656,0,0,1656,0,0,2,0,3,1,1,7,1,0,5,1,2006,1,3,826,2,2,1,0,146,0,0,0,0,,,,0,7,2007,1,Normal,249700
48,49,190,1,33.0,4456,Pave,,1,1,AllPub,1,1,OldTown,Norm,Norm,2,2,4,5,1920,2008,1,1,2,2,1,0,2,2,3,2,2,1,3,0,3,0,736,736,1,1,1,1,736,716,0,1452,0,0,2,0,2,3,2,8,1,0,5,5,0,4,0,0,5,5,2,0,0,102,0,0,0,,,,0,6,2009,2,Partial,113000
49,50,20,2,66.0,7742,Pave,,1,1,AllPub,1,1,Sawyer,Norm,Norm,1,1,5,7,1966,1966,1,1,4,4,1,0,2,2,2,2,2,1,7,763,3,0,192,955,1,3,1,1,955,0,0,955,1,0,1,0,3,1,2,6,1,0,5,1,1966,2,1,386,2,2,1,0,0,0,0,0,0,,MnPrv,,0,1,2007,1,Normal,127000
50,51,60,2,,13869,Pave,,3,1,AllPub,3,1,Gilbert,Norm,Norm,1,2,6,6,1997,1997,1,1,1,1,1,0,2,2,1,1,2,4,1,182,3,0,612,794,1,1,1,1,794,676,0,1470,0,1,2,0,3,1,2,6,1,0,5,1,1997,3,2,388,2,2,1,0,75,0,0,0,0,,,,0,7,2007,1,Normal,177000
51,52,50,1,52.0,6240,Pave,,1,1,AllPub,1,1,BrkSide,Norm,Norm,1,4,6,6,1934,1950,1,1,3,3,1,0,2,2,1,2,2,1,3,0,3,0,816,816,1,2,1,1,816,0,360,1176,0,0,1,0,3,1,2,6,1,1,1,2,1985,2,2,528,2,2,1,112,0,0,0,0,0,,MnPrv,Shed,400,9,2006,1,Normal,114500
52,53,90,1,110.0,8472,Grvl,,3,2,AllPub,3,2,IDOTRR,RRNn,Norm,3,1,5,5,1963,1963,1,1,3,3,1,0,4,2,2,1,2,2,6,104,1,712,0,816,1,2,2,1,816,0,0,816,1,0,1,0,2,1,2,5,1,0,5,4,1963,2,2,516,2,2,1,106,0,0,0,0,0,,,,0,5,2010,1,Normal,110000
53,54,20,2,68.0,50271,Pave,,2,3,AllPub,1,1,Veenker,Norm,Norm,1,1,9,5,1981,1987,1,2,5,5,1,0,1,2,2,3,2,2,1,1810,3,0,32,1842,1,1,1,1,1842,0,0,1842,2,0,0,1,0,1,1,5,1,1,1,1,1981,3,3,894,2,2,1,857,72,0,0,0,0,,,,0,11,2006,1,Normal,385000
54,55,80,2,60.0,7134,Pave,,1,2,AllPub,1,2,NAmes,Norm,Norm,1,3,5,5,1955,1955,1,1,2,2,1,0,2,2,2,2,2,1,2,384,3,0,0,384,1,2,1,1,1360,0,0,1360,0,0,1,0,3,1,2,6,2,1,2,2,1962,2,2,572,2,2,1,0,50,0,0,0,0,,MnPrv,,0,2,2007,1,Normal,130000
55,56,20,2,100.0,10175,Pave,,2,1,AllPub,1,1,NAmes,Norm,Norm,1,1,6,5,1964,1964,1,1,4,7,2,272,2,2,2,2,2,1,7,490,3,0,935,1425,1,1,1,1,1425,0,0,1425,0,0,2,0,3,1,2,7,1,1,1,1,1964,1,2,576,2,2,1,0,0,0,407,0,0,,,,0,7,2008,1,Normal,180500
56,57,160,3,24.0,2645,Pave,Pave,1,1,AllPub,1,1,Somerst,Norm,Norm,5,2,8,5,1999,2000,1,1,2,2,2,456,1,2,1,1,2,1,1,649,3,0,321,970,1,3,1,1,983,756,0,1739,1,0,2,1,3,1,1,7,1,0,5,1,1999,3,2,480,2,2,1,115,0,0,0,0,0,,,,0,8,2009,1,Abnorml,172500
57,58,60,2,89.0,11645,Pave,,2,1,AllPub,3,1,CollgCr,Norm,Norm,1,2,7,5,2004,2004,1,1,1,1,1,0,1,2,1,1,2,1,3,0,3,0,860,860,1,3,1,1,860,860,0,1720,0,0,2,1,3,1,1,7,1,0,5,1,2004,1,2,565,2,2,1,0,70,0,0,0,0,,,,0,8,2006,1,Normal,196500
58,59,60,2,66.0,13682,Pave,,3,4,AllPub,4,1,StoneBr,Norm,Norm,1,2,10,5,2006,2006,2,1,1,1,2,1031,3,2,1,3,2,2,3,0,3,0,1410,1410,1,3,1,1,1426,1519,0,2945,0,0,3,1,3,1,1,10,1,1,1,3,2006,3,3,641,2,2,1,192,0,37,0,0,0,,,,0,10,2006,2,Partial,438780
59,60,20,2,60.0,7200,Pave,,1,2,AllPub,1,1,CollgCr,Norm,Norm,1,1,5,7,1972,1972,1,1,4,4,1,0,2,2,2,2,2,4,2,632,3,0,148,780,1,3,1,1,780,0,0,780,0,0,1,0,2,1,2,4,1,0,5,2,1973,2,1,352,2,2,1,196,0,0,0,0,0,,MnPrv,,0,1,2008,1,Normal,124900
60,61,20,2,63.0,13072,Pave,,1,1,AllPub,1,1,SawyerW,RRAe,Norm,1,1,6,5,2004,2004,1,1,1,1,1,0,2,2,1,1,2,1,2,941,3,0,217,1158,1,3,1,1,1158,0,0,1158,1,0,1,1,3,1,1,5,1,0,5,2,2006,2,2,576,2,2,1,0,50,0,0,0,0,,,,0,5,2006,2,Partial,158000
61,62,75,1,60.0,7200,Pave,,1,1,AllPub,1,1,IDOTRR,Norm,Norm,1,7,5,7,1920,1996,1,1,2,2,1,0,2,2,3,2,4,1,3,0,3,0,530,530,1,2,2,1,581,530,0,1111,0,0,1,0,3,1,4,6,1,0,5,2,1935,2,1,288,2,2,2,0,0,144,0,0,0,,,,0,3,2007,1,Normal,101000
62,63,120,2,44.0,6442,Pave,,2,1,AllPub,1,1,NridgHt,Norm,Norm,4,1,8,5,2006,2006,1,1,1,1,3,178,1,2,1,1,1,3,1,24,3,0,1346,1370,1,3,1,1,1370,0,0,1370,0,0,2,0,2,1,1,6,1,1,1,1,2006,1,2,484,2,2,1,120,49,0,0,0,0,,,,0,10,2007,1,Normal,202500
63,64,70,1,50.0,10300,Pave,,2,2,AllPub,1,1,OldTown,RRAn,Feedr,1,2,7,6,1921,1950,1,1,11,11,1,0,2,2,3,2,2,1,3,0,3,0,576,576,1,1,1,1,902,808,0,1710,0,0,2,0,3,1,2,9,1,0,5,2,1990,2,2,480,2,2,1,12,11,64,0,0,0,,GdPrv,,0,4,2010,1,Normal,140000
64,65,60,2,,9375,Pave,,1,1,AllPub,1,1,CollgCr,Norm,Norm,1,2,7,5,1997,1998,1,1,1,1,2,573,2,2,1,1,2,1,1,739,3,0,318,1057,1,3,1,1,1057,977,0,2034,1,0,2,1,3,1,1,8,1,0,5,1,1998,1,2,645,2,2,1,576,36,0,0,0,0,,GdPrv,,0,2,2009,1,Normal,219500
65,66,60,2,76.0,9591,Pave,,1,1,AllPub,1,1,NridgHt,Norm,Norm,1,2,8,5,2004,2005,1,1,1,1,2,344,1,2,1,3,2,4,3,0,3,0,1143,1143,1,3,1,1,1143,1330,0,2473,0,0,2,1,4,1,1,9,1,1,1,3,2004,1,3,852,2,2,1,192,151,0,0,0,0,,,,0,10,2007,1,Normal,317000
66,67,20,2,,19900,Pave,,1,1,AllPub,1,1,NAmes,PosA,Norm,1,1,7,5,1970,1989,1,1,7,7,2,287,2,2,2,1,2,2,1,912,3,0,1035,1947,1,2,1,1,2207,0,0,2207,1,0,2,0,3,1,2,7,2,1,1,1,1970,1,2,576,2,2,1,301,0,0,0,0,0,,,,0,7,2010,1,Normal,180000
67,68,20,2,72.0,10665,Pave,,2,1,AllPub,1,1,CollgCr,Norm,Norm,1,1,7,5,2003,2003,1,1,1,1,2,167,1,2,1,1,2,4,1,1013,3,0,440,1453,1,3,1,1,1479,0,0,1479,1,0,2,0,3,1,1,7,1,0,5,1,2003,1,2,558,2,2,1,144,29,0,0,0,0,,,,0,6,2007,1,Normal,226000
68,69,30,1,47.0,4608,Pave,,1,1,AllPub,3,1,OldTown,Artery,Norm,1,1,4,6,1945,1950,1,1,2,2,1,0,2,1,2,2,2,1,3,0,3,0,747,747,1,2,1,1,747,0,0,747,0,0,1,0,2,1,2,4,1,0,5,1,1945,2,1,220,2,2,1,0,0,0,0,0,0,,,,0,6,2010,1,Normal,80000
